Word,Sentence,Correct Sense,Definition,
Organize,They organize events regularly.,Arrange,Plan systematically,
Organize,Cells organize into tissues.,Structure,Form system,
Origin,The origin of the river is unknown.,Source,Starting point,
Origin,The word has Latin origin.,Root,Historical beginning,
Origin,The origin of the species is studied.,Beginning,Source,
Out,The lights are out.,Extinguished,No longer operating or illuminated.,
Out,She is out of town.,Absent,Away from a place.,
Out,The secret is out.,Revealed,Made known publicly.,
Out,He stepped out of the room.,Exit,Leave place,
Outlet,Plug the charger into the outlet.,Power Socket,A source of electrical connection.,
Outlet,The newspaper is a media outlet.,Publication Source,An organization that distributes information.,
Outlet,Sports provide an outlet for stress.,Means Of Expression,A way to release emotions or energy.,
Outline,He drew an outline of the building.,Boundary Shape,The outer edge of something.,
Outline,She prepared an outline for her report.,Summary,A brief plan of main points.,
Outline,Draw an outline of the shape.,Contour,Outer boundary,
Outline,The teacher outlined the topic.,Describe,Summarize,
Outpost,Soldiers guarded the outpost.,Remote Station,Small military position.,
Outpost,The company opened an outpost abroad.,Branch Location,Small remote office.,
Outpost,The village is an outpost of culture.,Extension,Distant branch,
Output,The machine output increased.,Production,Amount produced,
Output,Save the program output.,Result,Data produced,
Over,The plane flew over the city.,Above,Higher than something.,
Over,The game is over.,Finished,Having ended.,
Over,Hand the document over.,Transfer,To give control or possession.,
Overcome,He overcame fear.,Defeat,Succeed against,
Overcome,The city was overcome by flood.,Overwhelm,Be defeated,
Overflow,The river overflowed its banks.,Spill,Exceed limits,
Overflow,The inbox overflowed with messages.,Excess,Too many items,
Overlap,The schedules overlap.,Coincide,Cover same time,
Overlap,The fabrics overlap.,Cover,Extend over,
Oversee,She oversees the project.,Supervise,Manage,
Oversee,The tower oversees the valley.,Overlook,Watch from above,
Pack,Wolves hunt in a pack.,Group,A collection of animals.,
Pack,She packed her suitcase.,Fill,To place items into a container.,
Pack,Buy a pack of batteries.,Package Unit,A bundle sold together.,
Pack,He carried a backpack.,Bundle,Group of items,
Pack,Wolves live in a pack.,Group,Animal group,
Package,The package arrived today.,Parcel,An item wrapped for delivery.,
Package,Install the software package.,Software Bundle,A collection of computer programs.,
Package,The benefits package is generous.,Set Of Benefits,A group of related offerings.,
Pad,Write your ideas on the pad.,Notepad,Sheets of paper bound together.,
Pad,The dog has soft paw pads.,Cushion,A soft protective surface.,
Pad,The goalkeeper wore knee pads.,Protective Gear,Equipment that protects body parts.,
Page,Turn to page ten.,Sheet In Book,One side of a leaf in a book.,
Page,The website's home page loaded quickly.,Web Document,A document displayed on the internet.,
Page,The doctor was paged immediately.,Summon,To contact via paging system.,
Page,Turn the page carefully.,Sheet,Book leaf,
Page,The assistant will page the doctor.,Call,Summon someone,
Paint,She will paint the wall.,Color,Apply pigment,
Paint,The artist uses oil paint.,Material,Coloring substance,
Pair,They are a pair of shoes.,Set Of Two,Matching items,
Pair,The students pair up for activity.,Match,Group into two,
Pale,She looked pale after the race.,Lacking Color,Having little natural color.,
Pale,The pale blue wall matched the furniture.,Light-Colored,Having a weak or soft color.,
Palm,"She held the tiny, fragile bird carefully in her palm.",Hand Anatomy,The inner surface of the hand between the wrist and the bases of the fingers,
Palm,The tropical beach was lined with beautiful coconut palm trees.,Tree Variety,An unbranched evergreen tree with a crown of long feathered or fan-shaped leaves,
Palm,She palmed the card during the trick.,Conceal In Hand,To hide using the hand.,
Panel,The door has a wooden panel.,Flat Section,A piece forming part of a surface.,
Panel,The panel discussed climate change.,Committee,A group of experts.,
Panic,The crowd began to panic.,Fear Reaction,Sudden anxiety,
Panic,A panic spread through markets.,Disorder,Mass fear,
Parcel,The courier delivered the parcel.,Package,A wrapped item for delivery.,
Parcel,They parceled the land.,Divide,To split into sections.,
Park,We went to the park.,Public Space,Recreation area,
Park,He will park the car.,Stop Vehicle,Place vehicle,
Pass,Please pass the salt.,Hand Over,To give something to another person.,
Pass,She managed to pass the exam.,Succeed,To meet the required standard in a test.,
Pass,She will pass the exam.,Succeed,Meet requirement,
Pass,The mountain pass is dangerous.,Route,Narrow passage,
Passage,Read the passage carefully.,Text Excerpt,A section of written material.,
Passage,The passage connects the two rooms.,Corridor,A way between places.,
Passage,The ship's passage took ten days.,Journey,Travel from one place to another.,
Patch,Sew a patch onto the jacket.,Fabric Piece,A piece used for repair.,
Patch,The company released a security patch.,Software Update,A fix for software issues.,
Patch,We found a patch of grass.,Small Area,A limited section of land.,
Patent,The inventor filed a patent.,Legal Protection,Exclusive rights to an invention.,
Patent,The error was patent.,Obvious,Clearly visible or evident.,
Patient,The patient recovered quickly.,Medical Recipient,A person receiving healthcare.,
Patient,She remained patient despite delays.,Tolerant,Able to wait calmly.,
Pattern,The fabric has a floral pattern.,Design,Repeated shape,
Pattern,Behavior shows a pattern.,Trend,Repeated sequence,
Payload,The rocket carried a payload.,Cargo,Goods transported by vehicle.,
Payload,The packet contained a payload.,Data Content,Main information being transmitted.,
Peak,Climbing to the peak took hours.,Summit,Top of mountain,
Peak,Sales reached a peak.,Highest Point,Maximum level,
Peer,She is a peer in the organization.,Equal,Same rank,
Peer,He peered through the window.,Look Closely,Gaze carefully,
Pen,He used a smooth black ink pen to sign the contract.,Writing Tool,"An instrument for writing or drawing with ink, typically consisting of a metal nib or ball",
Pen,The sheep were safely gathered inside their outdoor pen.,Animal Enclosure,A small enclosure in which domestic animals are kept,
Pen,The pen ran out of ink.,Writing Instrument,A tool used for writing.,
Pen,The sheep were kept in a pen.,Enclosure,A fenced area for animals.,
Perform,They perform on stage.,Act,Present show,
Perform,The engine performs well.,Function,Operate,
Period,The class lasts one period.,Time Interval,A portion of time.,
Period,The Renaissance was an important period.,Historical Era,A span characterized by events.,
Period,The sentence ends with a period.,Punctuation Mark,A dot marking sentence end.,
Permit,They permit entry.,Allow,Give permission,
Permit,You need a permit to drive.,License,Official document,
Persist,The noise will persist.,Continue,Last over time,
Persist,He persists in trying.,Continue Effort,Keep doing,
Phase,The moon has a new phase.,Stage,Part of cycle,
Phase,The project is in testing phase.,Stage,Development step,
Pick,Pick an answer from the list.,Choose,To select.,
Pick,He used a pick to break the rock.,Tool,A tool for digging or breaking.,
Pick,She picked an apple from the tree.,Remove,To take from a source.,
Pipe,Smoke came from the pipe.,Tube,Hollow cylinder for liquids/gases.,
Pipe,The old man smoked a pipe.,Smoking Device,Instrument for smoking tobacco.,
Pipe,Water flowed through the pipe.,Tube,A hollow structure that carries liquids or gases.,
Pipe,He played a musical pipe.,Instrument,An object that produces sound through air.,
Pitch,The singer hit the correct pitch.,Musical Tone,Degree of highness or lowness of sound.,
Pitch,The sales pitch was convincing.,Presentation,An attempt to persuade.,
Pitch,The players entered the pitch.,Playing Field,A sports field.,
Pitch,The singer hit the pitch perfectly.,Musical Tone,Degree of sound frequency.,
Pitch,The sales pitch was convincing.,Presentation,An attempt to persuade.,
Pitch,Players entered the soccer pitch.,Field,Sports playing area.,
Pitcher,The pitcher threw a fastball.,Baseball Player,Player who throws the ball.,
Pitcher,Fill the pitcher with water.,Container,A vessel for liquids.,
Place,Put it in its place.,Location,Position,
Place,She placed the order.,Submit,Make request,
Plan,They plan the trip.,Prepare,Organize in advance,
Plan,The building plan is approved.,Blueprint,Design layout,
Plane,The plane landed safely.,Aircraft,A vehicle for air travel.,
Plane,The carpenter used a plane.,Woodworking Tool,A tool for smoothing wood.,
Plane,The points lie on the same plane.,Flat Surface,A two-dimensional surface.,
Plane,The plane landed safely at the airport.,Aircraft,A flying vehicle used for transportation.,
Plane,The carpenter used a plane to smooth the wood.,Tool,A device used to flatten wooden surfaces.,
Plant,The plant needs water.,Living Organism,A member of the plant kingdom.,
Plant,The company built a power plant.,Factory,An industrial facility.,
Plant,Detectives planted evidence.,Place Secretly,To position deliberately.,
Play,The children play outside.,Engage In Activity,To participate for enjoyment.,
Play,We watched a play.,Theatrical Work,A dramatic performance.,
Play,Press play on the video.,Start Media,To begin playback.,
Plot,The novel has an exciting plot.,Storyline,Sequence of events in a story.,
Plot,He bought a plot of land.,Land Parcel,A small area of land.,
Plot,The criminals plotted an escape.,Scheme,To plan secretly.,
Plot,The story has a complex plot.,Storyline,Sequence of events,
Plot,They plot coordinates on map.,Mark,Indicate points,
Point,The pencil has a sharp point.,Tip,A tapered end.,
Point,She made a good point.,Idea,An important statement.,
Point,The team earned three points.,Score Unit,A unit of scoring.,
Point,Make your point clearly.,Idea,Argument,
Point,The pencil has a sharp point.,Tip,End,
Pole,The flag hung from the pole.,Long Rod,A long cylindrical object.,
Pole,The North Pole is extremely cold.,Geographic Point,One end of earth's axis.,
Pole,The debate showed opposite poles of opinion.,Extreme Position,An opposing viewpoint.,
Pool,We swam in the pool.,Swimming Area,A man-made water basin.,
Pool,The players contributed to a pool.,Shared Fund,Money collected together.,
Pool,The children swam in the pool.,Swimming Area,A place filled with water for swimming.,
Pool,The company created a pool of resources.,Collection,A group or supply of available things.,
Pool,They swam in the pool.,Water Basin,Swimming area,
Pool,They pool resources together.,Combine,Share collectively,
Pop,The balloon made a loud pop.,Bursting Sound,A short sharp sound from bursting.,
Pop,Pop music is popular worldwide.,Music Genre,A style of popular music.,
Pop,I'll pop into the store later.,Go Briefly,To visit quickly.,
Port,The ship arrived at the port.,Harbor,A place where ships dock.,
Port,Plug the cable into the USB port.,Connection Socket,An interface for devices.,
Post,He mailed the post yesterday.,Mail,Letters and parcels delivered.,
Post,She got a new post in the company.,Position,A job or duty assignment.,
Post,He shared a post on social media.,Online Message,Content published online.,
Post,He posted a letter.,Send,Mail something,
Post,She works at a security post.,Station,Assigned position,
Pound,The recipe requires a pound of sugar.,Weight Unit,A unit of mass.,
Pound,He pounded the nail into the wall.,Strike Repeatedly,To hit forcefully many times.,
Pound,The dog stayed in the pound.,Animal Shelter,A place for stray animals.,
Press,The press attended the conference.,News Media,Organizations that publish news.,
Press,Press the button.,Apply Force,To push something.,
Press,The machine can press metal sheets.,Compress,To flatten by force.,
Press,Press the button.,Push,Apply force,
Press,The press reported the news.,Media,Journalism group,
Pressure,The tire pressure is low.,Physical Force,Force exerted on a surface.,
Pressure,She felt pressure before the exam.,Stress,Mental strain or anxiety.,
Pressure,The group applied pressure on management.,Influence,Attempts to persuade or force action.,
Primary,Primary education begins at age six.,Elementary Level,First stage of education.,
Primary,Red is a primary color.,Fundamental,Basic and not derived.,
Prime,Seven is a prime number.,Mathematical Number,Divisible only by 1 and itself.,
Prime,He is in his prime.,Best Condition,Peak stage of life or performance.,
Prime,Prime the wall before painting.,Prepare,To make ready for use.,
Principal,The principal addressed the students.,School Head,Leader of a school.,
Principal,The principal reason was cost.,Main,Most important.,
Produce,Farmers produce crops.,Grow,Create goods,
Produce,The store sells fresh produce.,Food Items,Agricultural products,
Profile,The website profile was updated.,Personal Record,Information about a person.,
Profile,The mountain's profile was visible.,Outline,Side view or shape.,
Profile,The company has a high profile.,Public Visibility,Level of public attention.,
Project,They project future trends.,Predict,Estimate ahead,
Project,The school project is due.,Assignment,Task,
Prompt,The teacher gave a writing prompt.,Cue,Something that encourages a response.,
Prompt,She was prompt for the meeting.,Punctual,Arriving on time.,
Prompt,The teacher gave a prompt.,Cue,Instruction,
Prompt,She replied promptly.,Quickly,Without delay,
Proof,The receipt is proof of payment.,Evidence,Information confirming truth.,
Proof,The mathematician completed the proof.,Logical Demonstration,A verification of a theorem.,
Proof,This wall is waterproof.,Resistant,Protected against something.,
Proof,Provide proof of identity.,Evidence,Verification,
Proof,The bread is proofed.,Fermentation,Rising dough,
Property,She owns valuable property.,Real Estate,Land and buildings.,
Property,Density is a property of matter.,Characteristic,An attribute of something.,
Property,The stolen property was recovered.,Possession,Something owned.,
Prospect,The job prospect looks good.,Opportunity,Possibility of success.,
Prospect,They prospected for gold.,Search Target,Potential source of value.,
Prospect,There is a prospect of rain.,Possibility,Chance,
Prospect,He is a job prospect.,Candidate,Potential hire,
Pull,Pull the door open.,Drag,Move toward self,
Pull,The team has strong pull.,Influence,Attraction power,
Pulse,The nurse checked his pulse.,Heartbeat Rate,Rhythmic blood flow.,
Pulse,The laser emitted a pulse.,Burst,A short emission of energy.,
Pulse,Beans and lentils are pulses.,Edible Seeds,Dry legumes used as food.,
Pulse,His pulse is steady.,Heartbeat,Rhythmic blood flow,
Pulse,The market pulse is rising.,Trend,Activity level,
Punch,He threw a punch.,Strike,A blow with the fist.,
Punch,Use a hole punch on the paper.,Tool,Device for making holes.,
Punch,The fruit punch was delicious.,Beverage,A mixed drink.,
Punch,He threw a punch.,Hit,A blow with the fist.,
Punch,Use a hole punch.,Tool,Device for making holes.,
Punch,The fruit punch tasted good.,Drink,A mixed beverage.,
Punch,He threw a punch.,Strike,Hit with fist,
Punch,The card needs a punch.,Hole,Perforation,
Python,The programmer wrote a script using Python.,Programming Language,A language used to create computer programs.,
Python,The python wrapped around the tree branch.,Snake,A large nonvenomous snake.,
Quadrant,The map is divided into quadrants.,Section,One-fourth division,
Quadrant,The ship moved into the northern quadrant.,Region,Directional area,
Quadratic,Solve the quadratic equation.,Math Type,Second-degree equation,
Qualify,He did not qualify for the finals.,Meet Requirements,Become eligible,
Qualify,You should qualify your statement.,Modify,Limit meaning,
Quality,The product is of high quality.,Standard,Level of excellence,
Quality,Leadership quality matters.,Attribute,Characteristic,
Quantum,A quantum of energy is measured.,Unit,Smallest discrete amount,
Quantum,A quantum change occurred in policy.,Large Shift,Significant change,
Quarantine,The patient is in quarantine.,Isolation,Separation for safety,
Quarantine,They quarantined the shipment.,Restrict,Isolate goods,
Quarry,The builders extracted fine granite blocks from the quarry.,Stone Excavation,"A place, typically a large, deep pit, from which stone or other materials are extracted",
Quarry,The cheetah closely stalked its unsuspecting quarry.,Hunted Prey,"An animal pursued by a hunter, hound, or predatory mammal",
Quarry,The stone came from a quarry.,Excavation Site,Place where stone is extracted.,
Quarry,The detective finally caught his quarry.,Target,The object of pursuit.,
Quarryman,The quarryman cut stone.,Worker,Person employed in a quarry.,
Quarryman,The quarryman inspected equipment.,Laborer,Stone extraction worker.,
Quench,Water can quench thirst.,Satisfy,Stop feeling,
Quench,The fire was quenched quickly.,Extinguish,Put out fire,
Quenchable,Thirst is quenchable.,Satisfiable,Can be satisfied,
Query,She submitted a query to the system.,Question,Request for information,
Query,The database query returned no results.,Command,Data retrieval instruction,
Queryable,The dataset is queryable.,Searchable,Able to be queried,
Queryable,The system is fully queryable.,Accessible,Can be searched,
Question,Ask a question.,Inquiry,Request for answer,
Question,He questioned the results.,Challenge,Doubt validity,
Queue,People stood in a queue.,Line,Ordered waiting line,
Queue,The tasks are in a processing queue.,List,Ordered data structure,
Queueing,Queueing theory studies lines.,Process,Waiting system,
Quick,He gave a quick response.,Fast,Rapid,
Quick,The sand is quick in that area.,Unstable,Shifting surface,
Quicken,Her pulse quickened.,Speed Up,Become faster,
Quicken,The pace quickened.,Accelerate,Increase speed,
Quiet,The room is quiet.,Silent,Low noise,
Quiet,She has a quiet personality.,Calm,Reserved,
Quirk,He has a strange quirk.,Habit,Unusual behavior,
Quirk,The software has a quirk.,Glitch,Unexpected behavior,
Quiver,His voice began to quiver.,Shake,Tremble,
Quiver,The arrows are in a quiver.,Container,Arrow holder,
Quiz,The teacher gave a quiz.,Test,Short exam,
Quiz,He was quizzed by reporters.,Interrogate,Question intensively,
Quota,The country has an import quota.,Limit,Fixed allowance,
Quota,She met her sales quota.,Target,Required amount,
Quota-Bound,The system is quota-bound.,Limited,Restricted capacity,
Quotient,The quotient of 10 divided by 2 is 5.,Result,Division outcome,
Quotient,Emotional quotient is important.,Measure,Intelligence metric,
Race,She won the race.,Competition,A speed contest.,
Race,The human race evolved over time.,Population Group,People sharing common ancestry.,
Race,We raced to the station.,Hurry,To move quickly.,
Rack,The clothes are on the rack.,Storage Frame,Structure for holding items.,
Rack,The rack of ribs was served hot.,Rib Section,Bones from an animal's chest.,
Rack,He was racked with guilt.,Torment,To cause suffering.,
Range,The mountains form a range.,Chain,Series of mountains,
Range,The price range is wide.,Scope,Variation span,
Rank,She achieved high rank in the army.,Position,Level in hierarchy,
Rank,The food smells rank.,Foul,Unpleasant odor,
Rate,The crime rate is increasing.,Measure,Frequency,
Rate,I rate this movie highly.,Evaluate,Judge quality,
Reach,He can reach the top shelf.,Extend,Stretch toward,
Reach,We reached the destination.,Arrive,Get to place,
Read,I will read the book.,Interpret Text,Understand written words,
Read,The machine can read data.,Process,Interpret information,
Record,He broke a world record.,Achievement,Best performance,
Record,She recorded the song.,Capture,Store audio,
Reduce,Reduce the price.,Lower,Make less,
Reduce,The compound reduces oxygen.,Chemical Change,Cause reduction reaction,
Reflect,The mirror reflects light.,Bounce Back,Return image,
Reflect,He reflected on his decision.,Think,Consider deeply,
Reform,The government plans to reform laws.,Improve,Change system,
Reform,He was reformed after prison.,Improve Behavior,Moral change,
Register,Please register for the event.,Enroll,To sign up officially.,
Register,The cashier opened the register.,Cash Machine,Device used for sales transactions.,
Register,His voice dropped to a low register.,Vocal Range,A section of pitch range.,
Reject,They reject the proposal.,Refuse,Decline,
Reject,The machine rejects faulty items.,Discard,Exclude defective items,
Relate,These events relate to history.,Connect,Be linked,
Relate,She can relate to the story.,Empathize,Understand experience,
Relative,She is my relative.,Family Member,Person related by blood or marriage.,
Relative,Success is relative.,Dependent,Existing in relation to something else.,
Release,The movie will be released soon.,Publish,Make available,
Release,He released the bird.,Let Go,Set free,
Rely,She relies on her team.,Depend,Trust,
Remain,Only a few remain.,Stay,Continue existing,
Remark,He made a rude remark.,Comment,Statement,
Remark,She remarked on the weather.,Observe,Say something,
Remote,The TV remote is missing.,Control Device,A handheld control unit.,
Remote,They lived in a remote village.,Isolated,Far from populated areas.,
Remote,Remote work is becoming common.,Distant Access,Performed away from a central location.,
Remove,Remove the stain.,Eliminate,Take away,
Render,The software renders images.,Produce,Generate output,
Render,The strike rendered services useless.,Cause,Make,
Report,The report was submitted.,Document,A formal written account.,
Report,Please report the incident.,Inform,To give information.,
Report,The weather report predicted rain.,Broadcast Summary,Information update.,
Repository,The repository stores code.,Code Storage,Central location for software.,
Repository,The museum is a repository of history.,Collection,Place where items are preserved.,
Reservoir,The city uses a reservoir.,Water Storage,A large artificial lake.,
Reservoir,She has a reservoir of patience.,Supply,A large reserve of something.,
Rest,Take some rest.,Relaxation,A period of inactivity.,
Rest,The rest of the cake is yours.,Remainder,What remains.,
Rest,The ladder rests against the wall.,Be Supported,To lie on something.,
Resume,Please resume your work.,Continue,To begin again after interruption.,
Resume,She submitted her resume.,Job Document,A summary of qualifications and experience.,
Right,You got the answer right.,Correct,Accurate or true.,
Right,Turn right at the corner.,Direction,Opposite of left.,
Right,Everyone has the right to vote.,Entitlement,A legal or moral claim.,
Ring,He presented her with a stunning diamond engagement ring.,Jewelry Loop,A small circular band of precious metal worn on a finger as jewelry,
Ring,Please give me a phone ring when you safely arrive.,Sound / Call,An act of causing a bell to sound or making a telephone call,
Ring,She wore a gold ring.,Jewelry,A circular ornament worn on a finger.,
Ring,I heard the phone ring.,Sound,A resonant bell-like sound.,
Ring,The children formed a ring.,Circle,A circular arrangement.,
Ring,She wore a gold ring.,Jewelry,A circular ornament worn on a finger.,
Ring,I heard the phone ring.,Sound,A resonant bell-like sound.,
Ring,The children formed a ring.,Circle,A circular arrangement.,
Ring,She wore a ring on her finger.,Jewelry,A circular object worn as decoration.,
Ring,The phone began to ring loudly.,Sound Signal,A noise produced by a telephone or bell.,
Rock,The climber stood on a rock.,Stone,A naturally occurring solid mineral mass.,
Rock,Rock music filled the room.,Music Genre,A style of popular music.,
Rock,The earthquake rocked the building.,Shake,To move back and forth.,
Rock,"The climbers scales the steep, sheer face of the rock.",Geological Stone,The solid mineral material forming part of the surface of the earth,
Rock,She began to gently rock the sleeping baby to sleep.,Sway Motion,Move gently back and forth or from side to side,
Rock,The climber reached the top of the rock.,Stone,A hard natural mineral material.,
Rock,The band played rock music.,Music Genre,A style of popular music with strong rhythms.,
Root,The root of the tree is deep.,Plant Structure,Part that anchors a plant.,
Root,We must find the root of the problem.,Cause,The source or origin.,
Root,What is the square root of 49?,Mathematical Value,A number that produces another when multiplied by itself.,
Row,We sat in the front row.,Line,A series arranged side by side.,
Row,They rowed across the river.,Paddle Boat,To propel a boat with oars.,
Row,The neighbors had a row.,Argument,A noisy dispute.,
Ruler,The ruler measured 30 cm.,Measuring Tool,Instrument for measuring length.,
Ruler,The ruler governed wisely.,Leader,Monarch or sovereign.,
Run,"In the experimental run, the scientist succeeded to verify his theory.",Manage / Operate,"To direct, manage, or be in charge of an organization or business.",
Run,We need energy to run fast.,Physical Action (Sprint),"To move at a speed faster than a walk, never having both feet on the ground at the same time.",
Safe,The money is kept in a safe.,Security Box,Locked container for valuables,
Safe,He arrived safe and sound.,Unharmed,Not injured,
Sail,The ship will sail tomorrow.,Travel By Water,Move using wind/engine,
Sail,The sail caught the wind.,Cloth Sheet,Fabric used for wind power,
Sanction,The country imposed sanctions.,Penalty,Punitive restrictions.,
Sanction,The committee sanctioned the project.,Approval,Official authorization.,
Sandbox,Children played in the sandbox.,Play Area,Box filled with sand.,
Sandbox,Test the code in a sandbox.,Isolated Environment,Safe testing system.,
Saw,He used a saw to cut wood.,Cutting Tool,A tool with a toothed blade.,
Saw,I saw a rainbow yesterday.,Perceive Visually,To view with the eyes.,
Scale,He stepped onto the digital scale to check his weight.,Measuring Device,An instrument or machine for weighing,
Scale,The brave explorers set out to scale the mountain peak.,Climb Upward,Climb up or over something high and steep,
Scale,Fish are covered in scales.,Body Covering,Small hard plates on animals.,
Scale,The map uses a scale.,Ratio,Relationship between measurements.,
Scale,The fish had shiny scales.,Covering,A thin protective layer on an animal.,
Scale,The scientist used a scale to measure weight.,Measuring Device,A tool used to determine weight or size.,
Scale,The fish has shiny scales.,Body Covering,Thin plates on animals,
Scale,We need to scale the building.,Climb,Ascend,
Scale,The map uses a scale of 1:1000.,Ratio,Measurement proportion,
Scan,Scan the document.,Digitize,Convert to digital,
Scan,She scanned the crowd.,Look Over,Examine quickly,
Seal,The seal balanced a ball.,Marine Animal,A sea-dwelling mammal.,
Seal,Put a seal on the envelope.,Closure,Something that closes securely.,
Seal,The king's seal appeared on the document.,Official Mark,A symbol of authenticity.,
Seal,The document has a seal.,Stamp,Official mark,
Seal,Seals live in cold waters.,Animal,Marine mammal,
Sealant,The worker applied sealant to the window frame.,Material,A substance used to block gaps or leaks.,
Sealant,The dentist used a sealant on the tooth surface.,Dental Coating,A protective layer applied to teeth.,
Second,She finished second in the race.,Position,Rank after first.,
Second,Wait one second.,Time Unit,One-sixtieth of a minute.,
Second,I second the motion.,Support Proposal,To formally support a suggestion.,
Secure,Secure the door.,Lock,Make safe,
Secure,He secured the job.,Obtain,Get successfully,
Sense,Common sense is important.,Understanding,Practical judgment,
Sense,I sense danger.,Perceive,Feel or detect,
Serve,She will serve the guests.,Provide,Deliver service,
Serve,He serves in the army.,Work,Perform duty,
Service,The restaurant provides excellent service.,Assistance,Help provided to customers.,
Service,He joined military service.,Employment Duty,Work performed for an organization.,
Service,The technician serviced the machine.,Maintenance,Inspection and repair work.,
Shell,The beach was covered with shells.,Outer Covering,Hard covering of marine animals.,
Shell,The tank fired a shell.,Ammunition,Explosive projectile.,
Shift,She worked the night shift.,Work Period,A scheduled work session.,
Shift,Public opinion began to shift.,Change,To move from one state to another.,
Shift,Shift the chair closer.,Move Position,To relocate something slightly.,
Shift,The worker works night shift.,Schedule,Work period,
Shift,The ground shifted slightly.,Move,Change position,
Side,The house is on the other side of the street.,Surface/Location,One part of something.,
Side,Both sides presented arguments.,Faction,A group in opposition.,
Side,He ordered a side of fries.,Accompaniment,Food served with a main dish.,
Sign,The sign pointed to the exit.,Notice,A display conveying information.,
Sign,Please sign the contract.,Write Signature,To mark with one's name.,
Sign,Dark clouds were a sign of rain.,Indication,Evidence of something.,
Signal,The signal is weak.,Transmission,Transmitted message,
Signal,She signaled to stop.,Gesture,Indicate action,
Sink,The dishes are in the sink.,Basin,Fixture for washing.,
Sink,The ship began to sink.,Go Downward,To descend below a surface.,
Sink,The ship began to sink.,Go Down,Submerge,
Sink,Wash dishes in the sink.,Basin,Kitchen fixture,
Site,The construction site is active.,Location,Place,
Site,The website is a news site.,Online Page,Digital location,
Skip,Skip the introduction.,Omit,Leave out,
Skip,The child likes to skip.,Jump,Hop lightly,
Slate,Write your answer on the slate.,Writing Board,A flat surface for writing.,
Slate,The committee slated the project for review.,Schedule,To assign for a purpose.,
Slip,He slipped on ice.,Slide,Lose footing,
Slip,Fill out the slip.,Form,Small document,
Smash,He smashed the glass.,Break,Destroy violently,
Smash,The song was a smash hit.,Success,Major success,
Snap,The branch snapped.,Break,Suddenly break,
Snap,Take a snap of the view.,Photo,Picture,
Solve,Solve the puzzle.,Find Answer,Resolve problem,
Sort,Sort the files.,Arrange,Organize,
Sound,I heard a strange sound.,Noise,Something that can be heard.,
Sound,The bridge is structurally sound.,Solid,Reliable and in good condition.,
Sound,Her argument was sound.,Logical,Based on good reasoning.,
Sound,The sound is loud.,Noise,Auditory vibration,
Sound,The bridge is structurally sound.,Stable,Safe and strong,
Source,The river’s source is high in mountains.,Origin,Starting point,
Source,Cite your sources.,Reference,Information origin,
Space,The room has little space.,Area,An available physical area.,
Space,Astronauts traveled into space.,Outer Space,The region beyond earth.,
Space,Add a space between words.,Blank Gap,An empty area in writing.,
Space,Outer space is vast.,Universe,Cosmic area,
Space,Leave space between words.,Gap,Empty area,
Span,The bridge spans the river.,Extend,Stretch across,
Span,His attention span is short.,Duration,Length of time,
Spark,A spark started the fire.,Ignition,Small flash,
Spark,The speech sparked debate.,Trigger,Cause reaction,
Spell,Can you spell the word?,Write Letters,Form words,
Spell,She is under a spell.,Magic,Enchantment,
Spin,The wheel spins fast.,Rotate,Turn around,
Spin,The politician gave a spin on events.,Interpretation,Biased explanation,
Split,The log split in two.,Divide,Break apart,
Split,They split the bill.,Share,Divide cost,
Spoon,Use a spoon for soup.,Utensil,Tool for eating.,
Spoon,They spooned the sauce carefully.,Action,To transfer using a spoon.,
Spot,The dog has a black spot.,Mark,A small distinct area.,
Spot,We found a parking spot.,Location,A particular place.,
Spot,She spotted the mistake.,Notice,To observe something.,
Spring,Flowers bloom in spring.,Season,The season after winter.,
Spring,The mattress contains springs.,Coil Device,Elastic metal component.,
Spring,Water flows from the spring.,Water Source,A natural source of water.,
Stable,The horse stayed in the stable overnight.,Building For Horses,A structure where horses are kept.,
Stable,Her condition remained stable after treatment.,Steady,Not likely to change or fail.,
Stage,She performed on stage.,Platform,Performance area,
Stage,The disease is in early stage.,Phase,Development level,
Stamp,Put a stamp on the envelope.,Postage Label,A mark showing postage paid.,
Stamp,Collectors trade stamps.,Collectible Item,A postal label kept as a hobby item.,
Stamp,He stamped his foot angrily.,Forceful Step,To strike the ground with the foot.,
Stand,Please stand up.,Be Upright,To rise to one's feet.,
Stand,The vendor worked at a fruit stand.,Booth,A small place for selling goods.,
Stand,She took a stand against bullying.,Position,A firmly held opinion.,
Star,The star shines brightly tonight.,Celestial Body,A luminous object in space.,
Star,She became a movie star.,Celebrity,A famous performer.,
Star,The teacher drew a gold star.,Symbol,A star-shaped mark.,
Step,Take one step forward.,Movement,A movement made while walking.,
Step,The first step is planning.,Stage,A phase in a process.,
Step,She is my stepmother.,Family Relation,Related through marriage.,
Stick,He picked up a stick.,Branch,A thin piece of wood.,
Stick,The label won't stick.,Adhere,To remain attached.,
Stick,Stick to your plan.,Remain Faithful,To continue following something.,
Stock,The store has stock available.,Inventory,Goods available for sale.,
Stock,He bought company stock.,Shares,Ownership units in a company.,
Strike,Workers planned a strike.,Work Stoppage,Refusal to work as protest.,
Strike,Lightning struck the tree.,Hit,To impact forcefully.,
Strike,The idea struck me suddenly.,Occur To Mind,To come suddenly into thought.,
